,Name,Sales,Dollar Volume,Average Price,Median Price,New listings,SNLR,Active listings,MI,Avg SP/LP,Avg DOM,year,month
60,Toronto C08,128,"$56,666,289","$442,705","$391,500",210,62.5%,262,2.0,100%,21,12,2
61,Toronto C09,21,"$27,065,126","$1,288,816","$789,000",49,63.3%,68,2.1,98%,25,12,2
62,Toronto C10,58,"$41,107,300","$708,747","$635,000",94,68.4%,85,1.5,104%,14,12,2
63,Toronto C11,40,"$29,853,026","$746,326","$324,500",65,65.6%,69,1.8,102%,17,12,2
64,Toronto C12,47,"$84,004,576","$1,787,331","$1,661,000",100,53.5%,130,3.3,98%,25,12,2
65,Toronto C13,55,"$32,988,500","$599,791","$450,000",114,65.4%,117,1.8,101%,23,12,2
66,Toronto C14,149,"$91,724,462","$615,600","$428,000",258,61.7%,263,1.7,102%,23,12,2
67,Toronto C15,121,"$65,274,548","$539,459","$403,000",281,57.1%,356,2.0,101%,23,12,2
68,Toronto East,742,"$329,595,910","$444,199","$410,000","1,237",61.4%,"1,319",1.9,102%,19,12,2
69,Toronto E01,86,"$48,992,038","$569,675","$559,233",124,61.6%,101,1.5,105%,11,12,2
70,Toronto E02,60,"$40,247,135","$670,786","$606,000",108,65.1%,72,1.2,103%,12,12,2
71,Toronto E03,89,"$50,907,072","$571,990","$512,000",147,62.8%,118,1.5,105%,13,12,2
72,Toronto E04,86,"$29,841,336","$346,992","$359,500",141,61.4%,169,2.0,100%,19,12,2
73,Toronto E05,58,"$22,594,610","$389,562","$339,000",97,72.4%,94,1.3,101%,20,12,2
74,Toronto E06,41,"$23,051,541","$562,233","$408,000",79,59.0%,53,1.7,101%,13,12,2
75,Toronto E07,64,"$22,589,854","$352,966","$309,000",106,58.9%,146,2.2,102%,33,12,2
76,Toronto E08,48,"$16,879,875","$351,664","$322,250",82,57.6%,111,2.4,99%,22,12,2
77,Toronto E09,76,"$24,615,450","$323,888","$335,000",146,57.2%,218,2.3,100%,26,12,2
78,Toronto E10,52,"$24,430,299","$469,813","$417,000",85,60.1%,87,2.0,100%,19,12,2
79,Toronto E11,82,"$25,446,700","$310,326","$314,700",122,58.9%,150,2.4,99%,25,12,2
80,TREB Total,"9,690","$4,860,635,286","$501,614","$420,693","16,308",60.7%,"16,920",2.2,100%,21,12,3
81,City of Toronto Total,"3,682","$2,019,039,303","$548,354","$428,000","6,375",58.9%,"6,896",2.2,101%,21,12,3
82,Toronto West,981,"$461,838,865","$470,784","$416,900","1,621",57.7%,"1,886",2.5,101%,21,12,3
83,Toronto W01,65,"$40,932,475","$629,730","$543,000",108,57.3%,126,2.1,105%,16,12,3
84,Toronto W02,108,"$69,087,431","$639,698","$595,000",154,68.7%,101,1.2,106%,11,12,3
85,Toronto W03,90,"$36,128,232","$401,425","$400,000",126,61.0%,107,2.1,101%,18,12,3
86,Toronto W04,88,"$31,117,600","$353,609","$351,500",148,58.9%,176,2.8,99%,27,12,3
87,Toronto W05,104,"$35,291,700","$339,343","$354,250",192,54.3%,267,3.3,98%,30,12,3
88,Toronto W06,153,"$69,566,695","$454,684","$424,900",275,49.0%,391,3.2,99%,27,12,3
89,Toronto W07,25,"$17,110,441","$684,418","$645,000",40,68.3%,38,1.5,101%,17,12,3
90,Toronto W08,178,"$102,498,953","$575,837","$498,550",304,60.1%,374,2.3,100%,21,12,3
91,Toronto W09,62,"$26,312,089","$424,389","$472,000",73,58.6%,96,2.8,100%,22,12,3
92,Toronto W10,108,"$33,793,249","$312,900","$356,000",201,55.4%,210,3.0,99%,19,12,3
93,Toronto Central,"1,666","$1,109,315,316","$665,856","$457,000","3,101",58.0%,"3,497",2.2,101%,21,12,3
94,Toronto C01,413,"$187,670,919","$454,409","$392,000",833,53.1%,"1,073",2.7,100%,25,12,3
95,Toronto C02,82,"$81,686,675","$996,179","$702,500",145,54.7%,216,2.8,99%,25,12,3
96,Toronto C03,74,"$78,647,777","$1,062,808","$719,000",102,60.2%,101,2.2,101%,21,12,3
97,Toronto C04,109,"$110,533,343","$1,014,067","$950,000",186,60.2%,189,1.9,102%,15,12,3
98,Toronto C06,42,"$24,568,960","$584,975","$601,000",76,59.5%,79,2.1,103%,16,12,3
99,Toronto C07,136,"$80,085,156","$588,861","$474,500",250,62.9%,236,1.8,101%,17,12,3
100,Toronto C08,173,"$72,489,065","$419,012","$380,000",305,62.2%,322,2.0,100%,22,12,3
101,Toronto C09,27,"$39,421,030","$1,460,038","$1,200,000",52,58.8%,78,2.4,98%,15,12,3
102,Toronto C10,81,"$58,596,333","$723,412","$640,000",100,69.5%,80,1.4,103%,17,12,3
103,Toronto C11,45,"$22,544,926","$500,998","$235,400",64,64.4%,71,1.9,102%,19,12,3
104,Toronto C12,57,"$94,044,388","$1,649,902","$1,451,000",86,53.5%,134,3.3,99%,27,12,3
105,Toronto C13,81,"$49,762,887","$614,357","$501,000",140,64.3%,148,1.8,103%,19,12,3
106,Toronto C14,170,"$109,447,010","$643,806","$452,750",403,59.3%,366,1.8,102%,19,12,3
107,Toronto C15,176,"$99,816,847","$567,141","$423,849",359,55.3%,404,2.1,102%,25,12,3
108,Toronto East,"1,035","$447,885,122","$432,739","$414,000","1,653",61.8%,"1,513",1.9,102%,19,12,3
109,Toronto E01,98,"$58,703,575","$599,016","$587,000",138,62.2%,109,1.5,106%,12,12,3
110,Toronto E02,79,"$54,334,490","$687,778","$610,000",117,65.7%,86,1.2,102%,10,12,3
111,Toronto E03,127,"$65,039,190","$512,120","$507,000",155,64.1%,106,1.4,104%,15,12,3
112,Toronto E04,111,"$37,517,200","$337,993","$364,000",202,61.4%,203,2.0,100%,23,12,3
113,Toronto E05,113,"$47,643,878","$421,627","$400,500",176,71.2%,128,1.3,102%,17,12,3
114,Toronto E06,40,"$20,392,500","$509,813","$446,250",60,60.1%,49,1.6,101%,12,12,3
115,Toronto E07,96,"$33,543,826","$349,415","$306,250",165,59.0%,176,2.2,101%,27,12,3
116,Toronto E08,70,"$26,885,699","$384,081","$404,450",122,58.1%,133,2.4,99%,25,12,3
117,Toronto E09,151,"$46,977,451","$311,109","$270,000",223,58.3%,227,2.3,100%,23,12,3
118,Toronto E10,65,"$29,390,263","$452,158","$431,500",106,60.2%,96,2.0,101%,19,12,3
119,Toronto E11,85,"$27,457,050","$323,024","$304,000",189,58.8%,200,2.4,98%,24,12,3
120,TREB Total,"10,350","$5,356,701,351","$517,556","$434,000","16,436",60.7%,"18,379",2.2,100%,21,12,4
121,City of Toronto Total,"3,925","$2,231,109,660","$568,436","$445,000","6,383",58.9%,"7,321",2.2,101%,21,12,4
122,Toronto West,986,"$506,079,259","$513,265","$436,750","1,616",58.3%,"2,055",2.5,101%,22,12,4
123,Toronto W01,74,"$45,414,943","$613,715","$580,000",117,57.7%,134,2.1,105%,16,12,4
124,Toronto W02,107,"$67,243,240","$628,441","$600,000",162,68.1%,129,1.3,105%,14,12,4
125,Toronto W03,77,"$31,648,600","$411,021","$393,000",97,63.2%,98,2.0,99%,18,12,4
126,Toronto W04,82,"$30,095,788","$367,022","$347,250",146,58.9%,194,2.7,99%,26,12,4
127,Toronto W05,129,"$48,540,320","$376,282","$379,900",222,55.7%,297,3.2,98%,28,12,4
128,Toronto W06,124,"$55,646,120","$448,759","$416,750",254,48.6%,416,3.2,101%,30,12,4
129,Toronto W07,39,"$29,340,573","$752,322","$710,300",62,69.2%,47,1.4,102%,14,12,4
130,Toronto W08,200,"$139,712,602","$698,563","$575,000",309,60.4%,399,2.3,100%,22,12,4
131,Toronto W09,63,"$29,161,485","$462,881","$533,000",106,58.8%,122,2.7,99%,26,12,4
