,Name,Sales,Dollar Volume,Average Price,Median Price,New listings,SNLR,Active listings,MI,Avg SP/LP,Avg DOM,year,month
678,Toronto E10,74,"$35,644,250","$481,679","$451,250",136,53.5%,148,2.4,99%,18,13,5
679,Toronto E11,82,"$31,157,352","$379,968","$363,450",164,56.2%,175,2.4,99%,24,13,5
680,TREB Total,"9,061","$4,814,776,551","$531,374","$445,000","15,564",51.6%,"22,205",2.8,98%,24,13,6
681,City of Toronto Total,"3,265","$1,889,047,138","$578,575","$455,000","5,913",49.4%,"8,572",3.0,99%,23,13,6
682,Toronto West,846,"$448,861,089","$530,569","$451,500","1,518",52.0%,"2,173",2.9,100%,24,13,6
683,Toronto W01,63,"$45,835,834","$727,553","$735,000",90,54.5%,111,2.6,102%,18,13,6
684,Toronto W02,101,"$64,230,895","$635,949","$631,000",136,65.2%,110,1.5,105%,12,13,6
685,Toronto W03,69,"$31,675,250","$459,062","$430,000",97,60.6%,107,2.0,101%,18,13,6
686,Toronto W04,76,"$29,654,445","$390,190","$391,750",129,55.7%,189,2.8,98%,22,13,6
687,Toronto W05,102,"$36,906,836","$361,832","$381,000",216,53.9%,337,3.1,97%,27,13,6
688,Toronto W06,105,"$50,769,154","$483,516","$440,000",266,37.4%,488,4.7,99%,37,13,6
689,Toronto W07,37,"$30,109,800","$813,778","$675,000",56,65.1%,45,1.4,101%,20,13,6
690,Toronto W08,161,"$110,105,746","$683,887","$523,000",272,51.2%,421,2.9,98%,26,13,6
691,Toronto W09,49,"$22,100,989","$451,041","$446,000",80,56.5%,112,2.7,99%,26,13,6
692,Toronto W10,83,"$27,472,140","$330,990","$380,000",176,51.2%,253,3.0,98%,28,13,6
693,Toronto Central,"1,455","$986,494,519","$678,003","$465,000","2,853",44.4%,"4,643",3.5,98%,25,13,6
694,Toronto C01,386,"$175,318,998","$454,194","$400,000",858,39.8%,"1,435",4.2,99%,25,13,6
695,Toronto C02,71,"$79,283,061","$1,116,663","$799,000",134,40.9%,293,4.5,98%,26,13,6
696,Toronto C03,49,"$57,218,944","$1,167,734","$819,000",69,54.6%,115,2.6,99%,14,13,6
697,Toronto C04,102,"$120,181,207","$1,178,247","$1,116,000",165,49.4%,242,2.8,98%,22,13,6
698,Toronto C06,39,"$22,126,800","$567,354","$474,000",73,44.4%,126,3.6,98%,30,13,6
699,Toronto C07,98,"$59,638,276","$608,554","$468,150",233,42.4%,364,3.8,98%,29,13,6
700,Toronto C08,160,"$73,848,511","$461,553","$389,000",289,46.9%,445,3.1,99%,29,13,6
701,Toronto C09,26,"$35,213,390","$1,354,361","$1,350,000",40,52.9%,79,3.1,97%,25,13,6
702,Toronto C10,70,"$47,415,087","$677,358","$538,500",93,54.5%,125,2.2,100%,24,13,6
703,Toronto C11,46,"$32,400,318","$704,355","$419,000",66,58.0%,78,2.3,98%,25,13,6
704,Toronto C12,36,"$70,380,228","$1,955,006","$1,310,000",85,35.5%,190,5.7,92%,29,13,6
705,Toronto C13,93,"$59,102,333","$635,509","$482,000",140,56.6%,155,2.3,101%,24,13,6
706,Toronto C14,154,"$90,872,039","$590,078","$415,000",367,40.4%,630,3.9,98%,28,13,6
707,Toronto C15,125,"$63,495,327","$507,963","$386,000",241,47.0%,366,3.2,99%,22,13,6
708,Toronto East,964,"$453,691,530","$470,634","$450,000","1,542",56.6%,"1,756",2.2,100%,20,13,6
709,Toronto E01,106,"$63,311,419","$597,278","$560,950",154,55.9%,147,1.7,102%,15,13,6
710,Toronto E02,80,"$55,016,569","$687,707","$622,882",133,59.4%,123,1.5,101%,13,13,6
711,Toronto E03,103,"$57,092,485","$554,296","$539,000",143,60.5%,114,1.6,102%,16,13,6
712,Toronto E04,100,"$36,222,504","$362,225","$395,000",188,56.4%,223,2.3,100%,22,13,6
713,Toronto E05,119,"$53,246,079","$447,446","$385,000",134,60.4%,157,1.9,99%,21,13,6
714,Toronto E06,36,"$19,389,300","$538,592","$493,000",73,55.0%,77,1.8,99%,13,13,6
715,Toronto E07,92,"$37,317,688","$405,627","$421,500",182,50.4%,225,2.9,100%,20,13,6
716,Toronto E08,62,"$26,097,800","$420,932","$431,250",114,53.3%,143,2.8,99%,28,13,6
717,Toronto E09,107,"$39,584,287","$369,947","$380,000",190,57.6%,232,2.5,99%,23,13,6
718,Toronto E10,70,"$33,947,099","$484,959","$461,800",120,52.5%,157,2.6,100%,19,13,6
719,Toronto E11,89,"$32,466,300","$364,790","$370,000",111,59.2%,158,2.4,99%,23,13,6
720,TREB Total,"8,544","$4,385,175,836","$513,246","$440,000","14,132",52.1%,"20,514",2.8,98%,27,13,7
721,City of Toronto Total,"3,062","$1,641,786,517","$536,181","$439,000","5,350",50.1%,"7,849",2.9,98%,27,13,7
722,Toronto West,773,"$381,914,517","$494,068","$449,900","1,249",52.6%,"1,929",2.8,99%,27,13,7
723,Toronto W01,41,"$27,033,600","$659,356","$525,000",73,55.8%,96,2.5,100%,20,13,7
724,Toronto W02,68,"$42,253,439","$621,374","$618,050",88,67.0%,96,1.4,103%,17,13,7
725,Toronto W03,81,"$37,112,319","$458,177","$450,000",105,61.3%,88,1.9,100%,21,13,7
726,Toronto W04,89,"$37,296,875","$419,066","$410,000",121,56.5%,167,2.7,98%,32,13,7
727,Toronto W05,104,"$39,455,899","$379,384","$399,500",164,54.8%,303,3.1,97%,28,13,7
728,Toronto W06,121,"$57,362,131","$474,067","$458,500",225,37.6%,432,4.7,98%,34,13,7
729,Toronto W07,23,"$16,674,500","$724,978","$670,000",43,64.9%,51,1.4,100%,20,13,7
730,Toronto W08,129,"$81,013,928","$628,015","$579,900",218,51.9%,353,2.9,98%,27,13,7
731,Toronto W09,37,"$16,735,025","$452,298","$510,500",60,56.2%,104,2.8,96%,35,13,7
732,Toronto W10,80,"$26,976,801","$337,210","$396,250",152,51.0%,239,3.0,98%,26,13,7
733,Toronto Central,"1,359","$844,590,902","$621,480","$425,000","2,645",45.1%,"4,287",3.5,98%,29,13,7
734,Toronto C01,351,"$155,629,442","$443,389","$395,000",809,40.2%,"1,376",4.2,98%,30,13,7
735,Toronto C02,68,"$70,881,614","$1,042,377","$700,500",137,41.5%,262,4.4,96%,30,13,7
736,Toronto C03,50,"$55,902,839","$1,118,057","$763,500",69,54.2%,97,2.5,98%,27,13,7
737,Toronto C04,67,"$71,103,805","$1,061,251","$883,500",117,49.9%,190,2.8,98%,27,13,7
738,Toronto C06,27,"$15,945,518","$590,575","$610,000",62,44.2%,105,3.6,97%,37,13,7
739,Toronto C07,112,"$61,851,288","$552,244","$403,500",216,43.4%,328,3.7,98%,29,13,7
740,Toronto C08,145,"$61,721,314","$425,664","$369,900",265,47.9%,433,3.1,98%,30,13,7
741,Toronto C09,25,"$22,991,700","$919,668","$729,000",38,52.8%,70,3.1,98%,22,13,7
742,Toronto C10,59,"$34,490,300","$584,581","$488,000",76,55.6%,102,2.2,99%,21,13,7
743,Toronto C11,40,"$21,727,900","$543,198","$302,000",53,58.9%,65,2.3,98%,24,13,7
744,Toronto C12,37,"$60,466,216","$1,634,222","$1,380,000",73,36.7%,174,5.6,96%,32,13,7
745,Toronto C13,83,"$56,870,165","$685,183","$461,000",108,59.3%,127,2.2,100%,25,13,7
746,Toronto C14,161,"$85,277,525","$529,674","$386,000",373,41.2%,610,3.8,97%,36,13,7
747,Toronto C15,134,"$69,731,276","$520,383","$438,000",249,47.3%,348,3.2,98%,29,13,7
748,Toronto East,930,"$415,281,098","$446,539","$443,000","1,456",57.4%,"1,633",2.1,99%,23,13,7
749,Toronto E01,81,"$45,601,298","$562,979","$552,000",119,56.7%,119,1.7,102%,19,13,7
750,Toronto E02,75,"$51,165,184","$682,202","$595,000",89,59.3%,91,1.5,100%,15,13,7
751,Toronto E03,83,"$42,618,414","$513,475","$540,000",139,60.8%,113,1.5,101%,17,13,7
752,Toronto E04,122,"$46,256,146","$379,149","$416,950",166,57.5%,206,2.3,99%,25,13,7
753,Toronto E05,96,"$39,530,888","$411,780","$368,000",131,61.7%,142,1.9,99%,25,13,7
754,Toronto E06,36,"$19,346,913","$537,414","$458,000",63,55.7%,65,1.8,97%,18,13,7
755,Toronto E07,104,"$43,894,188","$422,060","$419,000",163,53.1%,201,2.7,100%,19,13,7
756,Toronto E08,67,"$27,471,301","$410,019","$422,900",118,52.3%,135,2.7,99%,20,13,7
757,Toronto E09,115,"$38,892,076","$338,192","$315,888",220,57.5%,252,2.4,98%,27,13,7
758,Toronto E10,72,"$33,781,703","$469,190","$461,500",105,53.8%,142,2.6,98%,31,13,7
759,Toronto E11,79,"$26,722,987","$338,266","$329,900",143,60.2%,167,2.3,99%,29,13,7
760,TREB Total,"7,569","$3,807,914,826","$503,094","$431,000","12,208",52.7%,"18,788",2.7,98%,29,13,8
761,City of Toronto Total,"2,665","$1,380,856,812","$518,145","$423,000","4,475",50.6%,"7,097",2.9,98%,29,13,8
762,Toronto West,716,"$334,234,752","$466,808","$423,069","1,122",52.9%,"1,774",2.8,99%,30,13,8
763,Toronto W01,37,"$20,653,804","$558,211","$430,000",77,55.5%,103,2.5,100%,26,13,8
764,Toronto W02,62,"$37,728,973","$608,532","$627,500",76,66.9%,80,1.4,102%,18,13,8
765,Toronto W03,63,"$27,907,800","$442,981","$440,000",69,63.6%,74,1.8,100%,20,13,8
766,Toronto W04,75,"$28,585,088","$381,135","$390,000",94,57.8%,150,2.6,98%,24,13,8
767,Toronto W05,98,"$34,866,450","$355,780","$390,125",167,53.4%,280,3.1,97%,39,13,8
768,Toronto W06,113,"$53,724,150","$475,435","$435,000",189,38.6%,381,4.7,98%,37,13,8
769,Toronto W07,24,"$17,194,050","$716,419","$679,975",31,63.4%,47,1.5,100%,24,13,8
770,Toronto W08,131,"$73,322,648","$559,715","$505,000",202,51.6%,316,2.8,98%,29,13,8
771,Toronto W09,33,"$13,788,500","$417,833","$398,000",54,59.1%,99,2.6,98%,29,13,8
772,Toronto W10,80,"$26,463,289","$330,791","$376,000",163,50.6%,244,3.0,97%,31,13,8
773,Toronto Central,"1,163","$715,832,097","$615,505","$425,000","2,134",45.5%,"3,813",3.4,98%,33,13,8
774,Toronto C01,342,"$162,556,773","$475,312","$405,000",646,40.8%,"1,252",4.1,97%,35,13,8
775,Toronto C02,49,"$42,330,128","$863,880","$565,000",86,41.6%,210,4.4,98%,28,13,8
776,Toronto C03,32,"$31,256,630","$976,770","$725,500",56,53.8%,92,2.5,100%,26,13,8
777,Toronto C04,52,"$54,313,035","$1,044,481","$1,015,550",120,48.6%,173,2.8,99%,27,13,8
778,Toronto C06,18,"$10,551,118","$586,173","$447,550",39,43.9%,93,3.6,99%,30,13,8
779,Toronto C07,85,"$50,375,118","$592,648","$401,000",208,43.8%,327,3.7,96%,35,13,8
780,Toronto C08,145,"$60,544,880","$417,551","$395,250",183,49.6%,327,3.0,98%,35,13,8
781,Toronto C09,13,"$13,477,000","$1,036,692","$1,062,000",29,51.9%,54,3.1,99%,29,13,8
782,Toronto C10,43,"$26,469,100","$615,560","$520,000",57,56.5%,80,2.1,99%,31,13,8
783,Toronto C11,34,"$17,043,710","$501,286","$235,500",41,61.8%,55,2.2,96%,30,13,8
784,Toronto C12,28,"$54,330,138","$1,940,362","$1,407,750",47,37.2%,148,5.6,96%,52,13,8
785,Toronto C13,55,"$36,767,718","$668,504","$456,250",68,59.9%,101,2.1,98%,29,13,8
786,Toronto C14,149,"$91,652,286","$615,116","$383,000",330,41.3%,572,3.8,96%,38,13,8
787,Toronto C15,118,"$64,164,463","$543,767","$451,000",224,47.1%,329,3.1,99%,27,13,8
788,Toronto East,786,"$330,789,963","$420,852","$420,000","1,219",58.1%,"1,510",2.1,100%,23,13,8
789,Toronto E01,45,"$25,817,363","$573,719","$579,900",72,57.1%,93,1.7,102%,19,13,8
790,Toronto E02,52,"$32,717,168","$629,176","$557,000",58,59.6%,62,1.5,101%,18,13,8
791,Toronto E03,60,"$28,824,488","$480,408","$483,700",96,59.6%,100,1.5,102%,16,13,8
792,Toronto E04,107,"$37,831,628","$353,567","$400,000",175,57.7%,199,2.2,99%,26,13,8
793,Toronto E05,88,"$34,755,305","$394,947","$330,400",125,64.4%,132,1.8,99%,22,13,8
794,Toronto E06,30,"$15,819,626","$527,321","$464,125",60,54.4%,63,1.8,101%,18,13,8
795,Toronto E07,91,"$36,443,038","$400,473","$412,000",129,56.0%,186,2.6,100%,23,13,8
796,Toronto E08,60,"$26,885,800","$448,097","$433,000",108,53.9%,140,2.6,99%,24,13,8
797,Toronto E09,107,"$35,635,234","$333,040","$299,900",188,57.6%,263,2.3,99%,24,13,8
798,Toronto E10,59,"$26,425,833","$447,895","$459,000",108,54.0%,141,2.5,99%,28,13,8
799,Toronto E11,87,"$29,634,480","$340,626","$345,000",100,62.3%,131,2.2,98%,23,13,8
800,TREB Total,"7,411","$3,955,966,314","$533,797","$449,000","14,938",53.7%,"20,194",2.7,98%,27,13,9
801,City of Toronto Total,"2,789","$1,593,663,756","$571,410","$451,510","5,994",51.7%,"7,897",2.8,99%,27,13,9
802,Toronto West,715,"$360,422,014","$504,087","$443,000","1,477",54.1%,"1,974",2.7,100%,28,13,9
803,Toronto W01,48,"$31,601,197","$658,358","$624,501",129,55.8%,149,2.4,101%,22,13,9
804,Toronto W02,76,"$50,275,570","$661,521","$602,500",136,67.4%,109,1.4,102%,18,13,9
805,Toronto W03,56,"$23,918,200","$427,111","$420,000",96,65.9%,92,1.7,101%,21,13,9
806,Toronto W04,68,"$27,674,566","$406,979","$401,550",122,60.3%,163,2.5,100%,30,13,9
807,Toronto W05,80,"$28,560,150","$357,002","$398,500",178,53.7%,286,3.1,98%,30,13,9
808,Toronto W06,107,"$49,537,950","$462,971","$404,000",240,40.1%,394,4.5,100%,34,13,9
809,Toronto W07,31,"$21,570,800","$695,832","$692,500",56,62.9%,49,1.5,102%,22,13,9
810,Toronto W08,126,"$79,947,593","$634,505","$515,000",296,53.0%,386,2.7,98%,30,13,9
811,Toronto W09,43,"$21,087,500","$490,407","$525,000",80,59.7%,108,2.5,99%,33,13,9
812,Toronto W10,80,"$26,248,488","$328,106","$366,500",144,51.9%,238,3.0,98%,31,13,9
813,Toronto Central,"1,215","$835,737,010","$687,849","$468,900","3,051",46.4%,"4,336",3.4,99%,30,13,9
814,Toronto C01,343,"$163,132,866","$475,606","$398,000",786,42.1%,"1,306",4.0,99%,32,13,9
815,Toronto C02,67,"$63,975,112","$954,852","$792,800",193,42.1%,270,4.4,101%,21,13,9
816,Toronto C03,32,"$39,613,084","$1,237,909","$734,009",107,52.6%,132,2.6,100%,27,13,9
817,Toronto C04,81,"$101,333,301","$1,251,028","$1,020,000",245,48.7%,267,2.8,99%,22,13,9
818,Toronto C06,25,"$14,651,544","$586,062","$573,000",72,44.4%,102,3.6,98%,32,13,9
819,Toronto C07,88,"$51,455,241","$584,719","$436,000",236,44.4%,354,3.6,98%,31,13,9
820,Toronto C08,118,"$57,609,289","$488,214","$435,000",317,50.5%,395,2.9,98%,34,13,9
821,Toronto C09,24,"$29,039,351","$1,209,973","$1,132,500",71,52.4%,81,3.0,98%,18,13,9
822,Toronto C10,37,"$27,456,949","$742,080","$547,000",94,56.9%,103,2.1,101%,17,13,9
823,Toronto C11,38,"$25,672,799","$675,600","$417,500",77,64.4%,74,2.0,100%,29,13,9
824,Toronto C12,34,"$74,519,678","$2,191,755","$1,837,500",92,38.0%,160,5.4,96%,45,13,9
825,Toronto C13,59,"$38,036,974","$644,694","$638,000",138,60.3%,141,2.1,100%,20,13,9
826,Toronto C14,141,"$82,148,094","$582,611","$392,000",355,42.5%,598,3.8,97%,34,13,9
827,Toronto C15,128,"$67,092,728","$524,162","$427,250",268,49.0%,353,3.0,98%,30,13,9
828,Toronto East,859,"$397,504,732","$462,753","$445,000","1,466",59.7%,"1,587",2.0,100%,23,13,9
829,Toronto E01,73,"$45,242,840","$619,765","$597,000",159,57.1%,125,1.7,104%,17,13,9
830,Toronto E02,66,"$49,864,755","$755,527","$626,000",134,61.9%,94,1.4,99%,11,13,9
831,Toronto E03,98,"$55,539,835","$566,733","$523,250",176,61.9%,128,1.4,102%,18,13,9
832,Toronto E04,125,"$44,847,201","$358,778","$429,900",177,60.4%,192,2.1,101%,26,13,9
833,Toronto E05,75,"$32,788,783","$437,184","$404,500",108,66.7%,130,1.7,101%,24,13,9
834,Toronto E06,34,"$18,245,988","$536,647","$490,000",79,54.2%,83,1.8,99%,17,13,9
835,Toronto E07,91,"$36,827,100","$404,693","$420,000",149,57.1%,171,2.4,100%,24,13,9
836,Toronto E08,64,"$28,804,455","$450,070","$431,500",94,56.6%,137,2.5,97%,28,13,9
837,Toronto E09,111,"$38,615,065","$347,883","$328,000",189,58.4%,252,2.2,99%,28,13,9
838,Toronto E10,54,"$24,418,200","$452,189","$433,250",100,55.2%,144,2.5,99%,28,13,9
839,Toronto E11,68,"$22,310,510","$328,096","$307,000",101,63.8%,131,2.1,98%,27,13,9
840,TREB Total,"8,000","$4,312,462,114","$539,058","$450,000","13,110",54.7%,"18,557",2.6,98%,27,13,10
841,City of Toronto Total,"3,190","$1,894,242,973","$593,807","$467,000","5,349",53.0%,"7,286",2.7,99%,25,13,10
842,Toronto West,817,"$414,776,251","$507,682","$458,500","1,311",55.3%,"1,820",2.7,99%,26,13,10
843,Toronto W01,67,"$45,570,300","$680,154","$688,000",110,54.2%,131,2.5,100%,19,13,10
844,Toronto W02,85,"$50,292,628","$591,678","$585,000",133,69.2%,102,1.3,102%,15,13,10
845,Toronto W03,55,"$24,091,718","$438,031","$425,000",102,64.7%,97,1.7,103%,19,13,10
846,Toronto W04,60,"$23,930,688","$398,845","$386,500",98,60.9%,139,2.5,99%,19,13,10
847,Toronto W05,101,"$43,335,155","$429,061","$438,000",169,54.8%,263,3.0,98%,29,13,10
848,Toronto W06,134,"$66,260,130","$494,479","$462,990",208,42.5%,351,4.3,99%,29,13,10
849,Toronto W07,30,"$21,963,300","$732,110","$735,000",34,64.7%,39,1.5,100%,23,13,10
850,Toronto W08,156,"$93,918,683","$602,043","$543,500",254,54.6%,384,2.7,98%,31,13,10
851,Toronto W09,46,"$20,738,750","$450,842","$495,000",80,59.6%,111,2.4,98%,25,13,10
852,Toronto W10,83,"$24,674,899","$297,288","$285,000",123,53.5%,203,2.9,98%,37,13,10
853,Toronto Central,"1,448","$1,029,835,004","$711,212","$482,000","2,688",47.6%,"4,046",3.3,98%,27,13,10
854,Toronto C01,372,"$186,275,631","$500,741","$413,944",767,43.0%,"1,204",3.9,99%,31,13,10
855,Toronto C02,74,"$83,299,418","$1,125,668","$835,500",137,42.7%,252,4.4,98%,26,13,10
856,Toronto C03,58,"$62,505,154","$1,077,675","$739,500",94,54.8%,131,2.6,98%,22,13,10
857,Toronto C04,119,"$150,931,050","$1,268,328","$1,201,000",199,49.9%,260,2.7,100%,21,13,10
858,Toronto C06,29,"$21,510,600","$741,745","$685,000",66,44.2%,111,3.6,98%,24,13,10
859,Toronto C07,107,"$58,313,983","$544,990","$383,000",209,46.2%,332,3.5,97%,30,13,10
860,Toronto C08,154,"$69,920,625","$454,030","$395,000",250,52.4%,361,2.8,99%,24,13,10
861,Toronto C09,27,"$41,484,750","$1,536,472","$1,550,000",41,53.6%,72,3.0,97%,34,13,10
862,Toronto C10,55,"$37,516,700","$682,122","$540,000",78,59.1%,94,2.0,99%,19,13,10
863,Toronto C11,40,"$30,188,150","$754,704","$680,000",62,66.2%,70,1.9,101%,30,13,10
864,Toronto C12,40,"$66,996,200","$1,674,905","$1,567,500",93,39.3%,167,5.2,96%,31,13,10
865,Toronto C13,72,"$38,112,326","$529,338","$463,750",121,61.3%,140,2.0,101%,21,13,10
866,Toronto C14,161,"$96,814,504","$601,332","$409,000",351,43.1%,550,3.7,98%,28,13,10
867,Toronto C15,140,"$85,965,913","$614,042","$473,500",220,50.9%,302,2.8,97%,27,13,10
868,Toronto East,925,"$449,631,718","$486,088","$460,000","1,350",61.0%,"1,420",1.9,100%,22,13,10
869,Toronto E01,93,"$57,326,401","$616,413","$585,000",131,58.1%,108,1.6,102%,17,13,10
870,Toronto E02,84,"$63,986,815","$761,748","$670,000",151,60.8%,114,1.4,102%,12,13,10
871,Toronto E03,101,"$58,407,375","$578,291","$560,000",164,62.2%,129,1.4,102%,14,13,10
872,Toronto E04,110,"$42,698,619","$388,169","$421,500",165,61.5%,175,2.0,100%,24,13,10
873,Toronto E05,80,"$35,968,933","$449,612","$366,000",108,68.5%,125,1.7,99%,22,13,10
874,Toronto E06,45,"$23,073,848","$512,752","$449,000",84,56.1%,75,1.7,99%,23,13,10
875,Toronto E07,96,"$40,452,875","$421,384","$439,000",125,60.2%,147,2.2,101%,24,13,10
876,Toronto E08,63,"$29,086,080","$461,684","$456,000",81,59.4%,112,2.4,98%,28,13,10
877,Toronto E09,119,"$42,578,947","$357,806","$355,000",151,60.4%,206,2.1,99%,26,13,10
878,Toronto E10,62,"$28,944,100","$466,840","$476,250",96,57.0%,118,2.3,98%,29,13,10
879,Toronto E11,72,"$27,107,725","$376,496","$379,000",94,64.2%,111,2.0,99%,25,13,10
880,TREB Total,"6,391","$3,443,991,233","$538,881","$453,000","9,345",55.3%,"16,092",2.6,98%,29,13,11
881,City of Toronto Total,"2,528","$1,492,444,187","$590,366","$470,000","3,849",53.6%,"6,380",2.7,99%,28,13,11
882,Toronto West,657,"$326,705,475","$497,269","$450,000",954,55.7%,"1,612",2.6,99%,30,13,11
883,Toronto W01,39,"$23,526,650","$603,247","$524,900",80,52.1%,131,2.6,101%,28,13,11
884,Toronto W02,64,"$45,404,560","$709,446","$633,000",92,68.8%,85,1.3,102%,25,13,11
885,Toronto W03,52,"$22,203,700","$426,994","$447,950",64,66.9%,81,1.6,101%,20,13,11
886,Toronto W04,75,"$32,365,350","$431,538","$390,000",83,61.7%,102,2.3,99%,27,13,11
887,Toronto W05,80,"$28,536,925","$356,712","$386,500",125,54.7%,254,3.1,98%,39,13,11
888,Toronto W06,83,"$38,760,223","$466,991","$457,000",152,43.3%,325,4.2,99%,35,13,11
889,Toronto W07,27,"$20,081,788","$743,770","$645,000",27,66.4%,29,1.5,101%,18,13,11
890,Toronto W08,120,"$71,644,677","$597,039","$495,000",174,55.3%,331,2.6,99%,30,13,11
891,Toronto W09,43,"$18,222,502","$423,779","$464,000",43,60.9%,82,2.3,98%,35,13,11
892,Toronto W10,74,"$25,959,100","$350,799","$403,000",114,53.2%,192,2.9,97%,32,13,11
893,Toronto Central,"1,153","$805,476,505","$698,592","$490,000","1,924",48.2%,"3,563",3.2,98%,30,13,11
894,Toronto C01,279,"$138,115,230","$495,037","$409,000",591,43.2%,"1,133",3.9,99%,29,13,11
895,Toronto C02,66,"$77,623,921","$1,176,120","$833,500",106,44.3%,218,4.2,96%,41,13,11
896,Toronto C03,47,"$40,960,005","$871,489","$699,000",50,56.9%,104,2.5,99%,21,13,11
897,Toronto C04,87,"$100,233,051","$1,152,104","$1,150,000",140,50.6%,230,2.7,100%,24,13,11
898,Toronto C06,33,"$18,342,626","$555,837","$387,000",52,44.7%,86,3.6,97%,29,13,11
899,Toronto C07,111,"$72,933,132","$657,055","$575,000",164,46.3%,289,3.4,99%,30,13,11
900,Toronto C08,114,"$53,216,230","$466,809","$399,450",190,52.5%,328,2.8,98%,28,13,11
901,Toronto C09,27,"$28,249,788","$1,046,288","$715,000",31,53.9%,65,3.0,99%,25,13,11
902,Toronto C10,41,"$25,756,800","$628,215","$520,000",76,58.2%,88,2.0,98%,24,13,11
903,Toronto C11,35,"$23,680,715","$676,592","$409,000",48,65.8%,59,1.8,99%,25,13,11
904,Toronto C12,24,"$49,758,028","$2,073,251","$1,442,500",46,40.4%,137,5.0,96%,32,13,11
905,Toronto C13,59,"$34,100,850","$577,981","$449,500",55,63.0%,96,1.9,100%,29,13,11
906,Toronto C14,141,"$88,889,139","$630,419","$421,000",231,44.5%,457,3.6,97%,36,13,11
907,Toronto C15,89,"$53,616,990","$602,438","$510,000",144,51.8%,273,2.7,98%,32,13,11
908,Toronto East,718,"$360,262,207","$501,758","$468,325",971,62.0%,"1,205",1.8,100%,22,13,11
909,Toronto E01,65,"$42,557,649","$654,733","$657,000",89,58.9%,95,1.6,105%,13,13,11
910,Toronto E02,67,"$56,506,817","$843,385","$640,000",88,62.3%,98,1.4,99%,19,13,11
911,Toronto E03,73,"$41,376,352","$566,799","$550,000",91,63.8%,100,1.4,101%,15,13,11
912,Toronto E04,100,"$39,162,390","$391,624","$439,750",104,63.8%,128,1.9,100%,27,13,11
913,Toronto E05,74,"$34,197,638","$462,130","$371,000",86,70.3%,92,1.6,102%,22,13,11
914,Toronto E06,39,"$20,668,534","$529,962","$510,000",60,56.1%,59,1.7,99%,26,13,11
915,Toronto E07,72,"$32,377,703","$449,690","$405,750",109,61.0%,138,2.1,98%,23,13,11
916,Toronto E08,40,"$18,003,550","$450,089","$439,000",60,58.3%,98,2.4,99%,26,13,11
917,Toronto E09,82,"$29,121,560","$355,141","$347,950",137,60.4%,197,2.1,99%,29,13,11
918,Toronto E10,51,"$24,520,014","$480,785","$474,000",76,57.2%,103,2.3,99%,23,13,11
919,Toronto E11,55,"$21,770,000","$395,818","$395,000",71,65.7%,97,1.9,99%,24,13,11
920,TREB Total,"4,078","$2,122,182,928","$520,398","$432,000","4,102",55.7%,"11,418",2.5,97%,33,13,12
921,City of Toronto Total,"1,574","$852,747,616","$541,771","$423,250","1,703",53.8%,"4,582",2.6,98%,33,13,12
922,Toronto West,423,"$187,525,843","$443,324","$412,500",405,56.2%,"1,132",2.6,98%,32,13,12
923,Toronto W01,24,"$11,217,379","$467,391","$305,250",26,52.4%,94,2.6,99%,37,13,12
924,Toronto W02,43,"$26,721,500","$621,430","$600,000",32,69.0%,51,1.3,100%,21,13,12
925,Toronto W03,36,"$16,753,762","$465,382","$453,500",29,67.1%,50,1.6,99%,29,13,12
926,Toronto W04,44,"$18,391,524","$417,989","$402,062",30,62.5%,66,2.2,99%,30,13,12
927,Toronto W05,64,"$23,453,593","$366,462","$357,000",65,55.4%,188,3.0,97%,33,13,12
928,Toronto W06,59,"$27,060,260","$458,648","$399,990",63,43.7%,244,4.1,98%,38,13,12
929,Toronto W07,9,"$7,052,600","$783,622","$701,000",5,67.4%,14,1.4,103%,16,13,12
930,Toronto W08,68,"$33,078,200","$486,444","$393,250",72,54.7%,215,2.7,97%,36,13,12
931,Toronto W09,23,"$6,638,925","$288,649","$295,000",20,61.8%,60,2.3,97%,35,13,12
932,Toronto W10,53,"$17,158,100","$323,738","$310,000",63,55.0%,150,2.8,96%,32,13,12
933,Toronto Central,718,"$460,111,048","$640,823","$415,000",902,48.3%,"2,635",3.2,97%,37,13,12
934,Toronto C01,211,"$97,761,093","$463,323","$392,500",310,43.6%,881,3.8,98%,36,13,12
935,Toronto C02,33,"$35,845,178","$1,086,218","$660,000",45,44.4%,161,4.1,96%,50,13,12
936,Toronto C03,17,"$20,644,050","$1,214,356","$630,000",17,56.7%,75,2.5,98%,44,13,12
937,Toronto C04,43,"$45,829,963","$1,065,813","$910,000",46,51.1%,155,2.7,99%,31,13,12
938,Toronto C06,16,"$12,088,000","$755,500","$732,500",26,43.7%,67,3.7,98%,25,13,12
939,Toronto C07,65,"$33,410,177","$514,003","$378,000",75,46.8%,209,3.3,98%,43,13,12
940,Toronto C08,88,"$38,264,138","$434,820","$387,000",106,52.5%,269,2.8,98%,33,13,12
941,Toronto C09,8,"$8,086,675","$1,010,834","$616,000",3,54.1%,36,3.0,99%,45,13,12
942,Toronto C10,24,"$13,536,150","$564,006","$425,000",21,57.8%,52,2.0,98%,33,13,12
943,Toronto C11,13,"$4,686,850","$360,527","$243,500",24,64.8%,45,1.8,100%,26,13,12
