,Name,Sales,Dollar Volume,Average Price,Median Price,New listings,SNLR,Active listings,MI,Avg SP/LP,Avg DOM,year,month,day,date
46,Toronto W04,56.0,20042500.0,357902.0,350450.0,107.0,58.4,160.0,2.8,99.0,36.0,2012,2,15,2012-02-15
47,Toronto W05,79.0,25025050.0,316773.0,349300.0,169.0,53.7,238.0,3.3,99.0,34.0,2012,2,15,2012-02-15
48,Toronto W06,95.0,43942038.0,462548.0,410000.0,273.0,48.2,359.0,3.2,100.0,29.0,2012,2,15,2012-02-15
49,Toronto W07,27.0,18825407.0,697237.0,645333.0,38.0,68.9,29.0,1.4,101.0,27.0,2012,2,15,2012-02-15
50,Toronto W08,117.0,72035318.0,615686.0,515000.0,253.0,61.0,326.0,2.2,100.0,23.0,2012,2,15,2012-02-15
51,Toronto W09,50.0,18544888.0,370898.0,417000.0,102.0,55.8,108.0,3.0,100.0,32.0,2012,2,15,2012-02-15
52,Toronto W10,78.0,21943758.0,281330.0,270250.0,132.0,56.2,178.0,3.0,98.0,26.0,2012,2,15,2012-02-15
53,Toronto Central,1277.0,852662991.0,667708.0,451900.0,2528.0,58.8,3061.0,2.2,101.0,21.0,2012,2,15,2012-02-15
54,Toronto C01,347.0,157680041.0,454409.0,391000.0,723.0,53.8,986.0,2.6,100.0,23.0,2012,2,15,2012-02-15
55,Toronto C02,51.0,59084131.0,1158512.0,765000.0,129.0,55.5,214.0,2.8,102.0,18.0,2012,2,15,2012-02-15
56,Toronto C03,49.0,44694050.0,912123.0,678300.0,103.0,59.1,98.0,2.2,100.0,18.0,2012,2,15,2012-02-15
57,Toronto C04,85.0,90615468.0,1066064.0,1030000.0,163.0,60.1,162.0,1.9,102.0,16.0,2012,2,15,2012-02-15
58,Toronto C06,27.0,15424808.0,571289.0,630000.0,49.0,59.9,64.0,2.1,102.0,20.0,2012,2,15,2012-02-15
59,Toronto C07,99.0,56480666.0,570512.0,509000.0,190.0,63.5,187.0,1.8,101.0,20.0,2012,2,15,2012-02-15
60,Toronto C08,128.0,56666289.0,442705.0,391500.0,210.0,62.5,262.0,2.0,100.0,21.0,2012,2,15,2012-02-15
61,Toronto C09,21.0,27065126.0,1288816.0,789000.0,49.0,63.3,68.0,2.1,98.0,25.0,2012,2,15,2012-02-15
62,Toronto C10,58.0,41107300.0,708747.0,635000.0,94.0,68.4,85.0,1.5,104.0,14.0,2012,2,15,2012-02-15
63,Toronto C11,40.0,29853026.0,746326.0,324500.0,65.0,65.6,69.0,1.8,102.0,17.0,2012,2,15,2012-02-15
64,Toronto C12,47.0,84004576.0,1787331.0,1661000.0,100.0,53.5,130.0,3.3,98.0,25.0,2012,2,15,2012-02-15
65,Toronto C13,55.0,32988500.0,599791.0,450000.0,114.0,65.4,117.0,1.8,101.0,23.0,2012,2,15,2012-02-15
66,Toronto C14,149.0,91724462.0,615600.0,428000.0,258.0,61.7,263.0,1.7,102.0,23.0,2012,2,15,2012-02-15
67,Toronto C15,121.0,65274548.0,539459.0,403000.0,281.0,57.1,356.0,2.0,101.0,23.0,2012,2,15,2012-02-15
68,Toronto East,742.0,329595910.0,444199.0,410000.0,1237.0,61.4,1319.0,1.9,102.0,19.0,2012,2,15,2012-02-15
69,Toronto E01,86.0,48992038.0,569675.0,559233.0,124.0,61.6,101.0,1.5,105.0,11.0,2012,2,15,2012-02-15
70,Toronto E02,60.0,40247135.0,670786.0,606000.0,108.0,65.1,72.0,1.2,103.0,12.0,2012,2,15,2012-02-15
71,Toronto E03,89.0,50907072.0,571990.0,512000.0,147.0,62.8,118.0,1.5,105.0,13.0,2012,2,15,2012-02-15
72,Toronto E04,86.0,29841336.0,346992.0,359500.0,141.0,61.4,169.0,2.0,100.0,19.0,2012,2,15,2012-02-15
73,Toronto E05,58.0,22594610.0,389562.0,339000.0,97.0,72.4,94.0,1.3,101.0,20.0,2012,2,15,2012-02-15
74,Toronto E06,41.0,23051541.0,562233.0,408000.0,79.0,59.0,53.0,1.7,101.0,13.0,2012,2,15,2012-02-15
75,Toronto E07,64.0,22589854.0,352966.0,309000.0,106.0,58.9,146.0,2.2,102.0,33.0,2012,2,15,2012-02-15
76,Toronto E08,48.0,16879875.0,351664.0,322250.0,82.0,57.6,111.0,2.4,99.0,22.0,2012,2,15,2012-02-15
77,Toronto E09,76.0,24615450.0,323888.0,335000.0,146.0,57.2,218.0,2.3,100.0,26.0,2012,2,15,2012-02-15
78,Toronto E10,52.0,24430299.0,469813.0,417000.0,85.0,60.1,87.0,2.0,100.0,19.0,2012,2,15,2012-02-15
79,Toronto E11,82.0,25446700.0,310326.0,314700.0,122.0,58.9,150.0,2.4,99.0,25.0,2012,2,15,2012-02-15
80,TRREB Total,9690.0,4860635286.0,501614.0,420693.0,16308.0,60.7,16920.0,2.2,100.0,21.0,2012,3,15,2012-03-15
81,City of Toronto Total,3682.0,2019039303.0,548354.0,428000.0,6375.0,58.9,6896.0,2.2,101.0,21.0,2012,3,15,2012-03-15
82,Toronto West,981.0,461838865.0,470784.0,416900.0,1621.0,57.7,1886.0,2.5,101.0,21.0,2012,3,15,2012-03-15
83,Toronto W01,65.0,40932475.0,629730.0,543000.0,108.0,57.3,126.0,2.1,105.0,16.0,2012,3,15,2012-03-15
84,Toronto W02,108.0,69087431.0,639698.0,595000.0,154.0,68.7,101.0,1.2,106.0,11.0,2012,3,15,2012-03-15
85,Toronto W03,90.0,36128232.0,401425.0,400000.0,126.0,61.0,107.0,2.1,101.0,18.0,2012,3,15,2012-03-15
86,Toronto W04,88.0,31117600.0,353609.0,351500.0,148.0,58.9,176.0,2.8,99.0,27.0,2012,3,15,2012-03-15
87,Toronto W05,104.0,35291700.0,339343.0,354250.0,192.0,54.3,267.0,3.3,98.0,30.0,2012,3,15,2012-03-15
88,Toronto W06,153.0,69566695.0,454684.0,424900.0,275.0,49.0,391.0,3.2,99.0,27.0,2012,3,15,2012-03-15
89,Toronto W07,25.0,17110441.0,684418.0,645000.0,40.0,68.3,38.0,1.5,101.0,17.0,2012,3,15,2012-03-15
90,Toronto W08,178.0,102498953.0,575837.0,498550.0,304.0,60.1,374.0,2.3,100.0,21.0,2012,3,15,2012-03-15
91,Toronto W09,62.0,26312089.0,424389.0,472000.0,73.0,58.6,96.0,2.8,100.0,22.0,2012,3,15,2012-03-15
92,Toronto W10,108.0,33793249.0,312900.0,356000.0,201.0,55.4,210.0,3.0,99.0,19.0,2012,3,15,2012-03-15
93,Toronto Central,1666.0,1109315316.0,665856.0,457000.0,3101.0,58.0,3497.0,2.2,101.0,21.0,2012,3,15,2012-03-15
94,Toronto C01,413.0,187670919.0,454409.0,392000.0,833.0,53.1,1073.0,2.7,100.0,25.0,2012,3,15,2012-03-15
95,Toronto C02,82.0,81686675.0,996179.0,702500.0,145.0,54.7,216.0,2.8,99.0,25.0,2012,3,15,2012-03-15
96,Toronto C03,74.0,78647777.0,1062808.0,719000.0,102.0,60.2,101.0,2.2,101.0,21.0,2012,3,15,2012-03-15
97,Toronto C04,109.0,110533343.0,1014067.0,950000.0,186.0,60.2,189.0,1.9,102.0,15.0,2012,3,15,2012-03-15
98,Toronto C06,42.0,24568960.0,584975.0,601000.0,76.0,59.5,79.0,2.1,103.0,16.0,2012,3,15,2012-03-15
99,Toronto C07,136.0,80085156.0,588861.0,474500.0,250.0,62.9,236.0,1.8,101.0,17.0,2012,3,15,2012-03-15
100,Toronto C08,173.0,72489065.0,419012.0,380000.0,305.0,62.2,322.0,2.0,100.0,22.0,2012,3,15,2012-03-15
101,Toronto C09,27.0,39421030.0,1460038.0,1200000.0,52.0,58.8,78.0,2.4,98.0,15.0,2012,3,15,2012-03-15
102,Toronto C10,81.0,58596333.0,723412.0,640000.0,100.0,69.5,80.0,1.4,103.0,17.0,2012,3,15,2012-03-15
103,Toronto C11,45.0,22544926.0,500998.0,235400.0,64.0,64.4,71.0,1.9,102.0,19.0,2012,3,15,2012-03-15
104,Toronto C12,57.0,94044388.0,1649902.0,1451000.0,86.0,53.5,134.0,3.3,99.0,27.0,2012,3,15,2012-03-15
105,Toronto C13,81.0,49762887.0,614357.0,501000.0,140.0,64.3,148.0,1.8,103.0,19.0,2012,3,15,2012-03-15
106,Toronto C14,170.0,109447010.0,643806.0,452750.0,403.0,59.3,366.0,1.8,102.0,19.0,2012,3,15,2012-03-15
107,Toronto C15,176.0,99816847.0,567141.0,423849.0,359.0,55.3,404.0,2.1,102.0,25.0,2012,3,15,2012-03-15
108,Toronto East,1035.0,447885122.0,432739.0,414000.0,1653.0,61.8,1513.0,1.9,102.0,19.0,2012,3,15,2012-03-15
109,Toronto E01,98.0,58703575.0,599016.0,587000.0,138.0,62.2,109.0,1.5,106.0,12.0,2012,3,15,2012-03-15
110,Toronto E02,79.0,54334490.0,687778.0,610000.0,117.0,65.7,86.0,1.2,102.0,10.0,2012,3,15,2012-03-15
111,Toronto E03,127.0,65039190.0,512120.0,507000.0,155.0,64.1,106.0,1.4,104.0,15.0,2012,3,15,2012-03-15
112,Toronto E04,111.0,37517200.0,337993.0,364000.0,202.0,61.4,203.0,2.0,100.0,23.0,2012,3,15,2012-03-15
113,Toronto E05,113.0,47643878.0,421627.0,400500.0,176.0,71.2,128.0,1.3,102.0,17.0,2012,3,15,2012-03-15
114,Toronto E06,40.0,20392500.0,509813.0,446250.0,60.0,60.1,49.0,1.6,101.0,12.0,2012,3,15,2012-03-15
115,Toronto E07,96.0,33543826.0,349415.0,306250.0,165.0,59.0,176.0,2.2,101.0,27.0,2012,3,15,2012-03-15
116,Toronto E08,70.0,26885699.0,384081.0,404450.0,122.0,58.1,133.0,2.4,99.0,25.0,2012,3,15,2012-03-15
117,Toronto E09,151.0,46977451.0,311109.0,270000.0,223.0,58.3,227.0,2.3,100.0,23.0,2012,3,15,2012-03-15
118,Toronto E10,65.0,29390263.0,452158.0,431500.0,106.0,60.2,96.0,2.0,101.0,19.0,2012,3,15,2012-03-15
119,Toronto E11,85.0,27457050.0,323024.0,304000.0,189.0,58.8,200.0,2.4,98.0,24.0,2012,3,15,2012-03-15
120,TRREB Total,10350.0,5356701351.0,517556.0,434000.0,16436.0,60.7,18379.0,2.2,100.0,21.0,2012,4,15,2012-04-15
121,City of Toronto Total,3925.0,2231109660.0,568436.0,445000.0,6383.0,58.9,7321.0,2.2,101.0,21.0,2012,4,15,2012-04-15
